## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
 78.1932, 107.297, 325.106, 352.065, -63.6644, -86.4795, -89.7451, 141.368
 -57.8454, -138.45, -268.655, 308.054, 12.2188, 107.46, 28.0331, 112.521
 -170.779, 74.7359, -32.6299, 191.529, 142.262, -74.5159, -41.0243, 168.167
 -8.56362, 87.9088, 207.026, 225.447, 9.65231, -86.7613, -105.854, 138.553
 116.88, -127.022, -371.087, 409.886, -121.66, 99.8282, -23.7541, 162.507
 -222.284, -45.9742, 262.426, 348.578, 216.31, 42.9794, 553.691, 596.209
 -163.264, 91.6919, 211.758, 283.521, 147.655, -86.4089, 378.654, 416.414
 -167.79, 81.7812, 12.3122, 188.481, 137.109, -67.1491, -67.2847, 168.091
 -0.492544, 46.2907, -154.255, 161.298, -43.1523, -2.31005, -144.318, 150.791
 0.259327, -64.602, -19.9036, 68.7861, -47.4018, 43.4633, -44.5546, 78.4581
 149.649, 63.2681, -210.211, 265.984, -79.5674, -64.58, -6.88346, 103.046
 53.8036, -66.1056, 54.5105, 102.532, -34.7197, 43.688, -287.504, 293.15
 169.951, -19.4435, -827.095, 845.568, -147.416, 10.2807, -206.563, 254.444
 -141.176, -74.7087, -625.888, 646.306, 108.451, 41.8101, -168.288, 204.841
